iter	Logloss
0	0.623331293
1	0.5714610859
2	0.526891718
3	0.4929385445
4	0.4703710933
5	0.4343846836
6	0.4004974415
7	0.3773045196
8	0.3579099108
9	0.34472181
10	0.3355912863
11	0.3233459977
12	0.3138924434
13	0.2979075177
14	0.2897925597
15	0.2789935904
16	0.2747145188
17	0.2707110862
18	0.2640250745
19	0.2574573031
20	0.2508769499
21	0.2456520609
22	0.2407901598
23	0.2375710727
24	0.2331810525
25	0.2283502506
26	0.2257616851
27	0.223161556
28	0.2207588594
29	0.2174223498
30	0.2149462016
31	0.2124288457
32	0.2092740749
33	0.2063565711
34	0.2047336494
35	0.2029979869
36	0.2013503283
37	0.1995317255
38	0.1983137814
39	0.1965594461
40	0.1955311712
41	0.1941928737
42	0.1928983461
43	0.1919611113
44	0.1912256893
45	0.1904706918
46	0.1896016506
47	0.1887623445
48	0.1874719795
49	0.1868277586
50	0.1860829503
51	0.1844144533
52	0.1838718724
53	0.1832821022
54	0.1826571286
55	0.1820020032
56	0.1813809004
57	0.1802178452
58	0.1796119471
59	0.1789866914
60	0.1782038598
61	0.1776892437
62	0.1771680863
63	0.1766662722
64	0.1763239444
65	0.1759536138
66	0.1755445784
67	0.1748159403
68	0.1742468064
69	0.1739156657
70	0.1734441909
71	0.1730698558
72	0.172486047
73	0.1719888393
74	0.1710783431
75	0.1703366732
76	0.1696627397
77	0.1692273235
78	0.1688225831
79	0.1682926493
80	0.1677362367
81	0.1673913771
82	0.1666246591
83	0.1661352623
84	0.1656544127
85	0.1651889497
86	0.1647293604
87	0.1643421117
88	0.1636815433
89	0.1633701235
90	0.1629861681
91	0.1625242407
92	0.161966024
93	0.1614576236
94	0.1611231687
95	0.1607675137
96	0.160418229
97	0.1602040821
98	0.1598224264
99	0.1589210689
100	0.1586004663
101	0.1582900179
102	0.1580074223
103	0.1574759482
104	0.1572148656
105	0.1568214622
106	0.1561850359
107	0.155915933
108	0.1557142607
109	0.155408618
110	0.1550644989
111	0.1547551768
112	0.1542333484
113	0.1538664631
114	0.1533602244
115	0.1529934195
116	0.1527265179
117	0.1523369617
118	0.151924147
119	0.1513352201
120	0.1511347791
121	0.1507907365
122	0.1505034787
123	0.1501300743
124	0.1497620993
125	0.1493289135
126	0.1489138318
127	0.1487007151
128	0.1484148754
129	0.1479740306
130	0.1476692785
131	0.14733162
132	0.1468982057
133	0.1466327109
134	0.1464172449
135	0.1460885579
136	0.1458476714
137	0.1455492239
138	0.1452447243
139	0.1449160029
140	0.1445070932
141	0.1442294148
142	0.1439821161
143	0.1436885238
144	0.1433960894
145	0.1432011735
146	0.1429503964
147	0.1426723347
148	0.1424276935
149	0.1422098574
150	0.1419662253
151	0.1417033905
152	0.1413425217
153	0.1409478551
154	0.1406010648
155	0.1402767181
156	0.1400158858
157	0.1398082322
