iter	Passed	Remaining
288	2955	7271
289	2962	7253
290	2970	7236
291	2982	7230
292	2992	7220
293	3000	7205
294	3008	7190
295	3015	7172
296	3023	7156
297	3032	7143
298	3040	7127
299	3048	7112
300	3057	7100
301	3065	7085
302	3073	7071
303	3081	7055
304	3089	7039
305	3097	7024
306	3105	7009
307	3112	6994
308	3121	6979
309	3129	6965
310	3137	6951
311	3145	6937
312	3154	6923
313	3162	6908
314	3170	6894
315	3179	6882
316	3187	6867
317	3195	6852
318	3203	6839
319	3211	6825
320	3220	6811
321	3227	6796
322	3236	6783
323	3244	6769
324	3252	6755
325	3260	6741
326	3268	6726
327	3276	6712
328	3283	6696
329	3291	6682
330	3299	6668
331	3306	6653
332	3315	6640
333	3322	6625
334	3331	6613
335	3339	6600
336	3348	6586
337	3356	6573
338	3363	6559
339	3371	6544
340	3379	6531
341	3387	6517
342	3395	6504
343	3403	6490
344	3410	6475
345	3419	6463
346	3427	6450
347	3435	6436
348	3443	6423
349	3451	6409
350	3458	6395
351	3466	6381
352	3474	6368
353	3482	6355
354	3490	6342
355	3498	6328
356	3506	6315
357	3513	6301
358	3522	6288
359	3531	6278
360	3540	6267
361	3549	6255
362	3557	6242
363	3565	6229
364	3572	6215
365	3580	6202
366	3587	6188
367	3595	6174
368	3602	6161
369	3611	6148
370	3618	6135
371	3626	6122
372	3635	6110
373	3643	6097
374	3651	6085
375	3659	6072
376	3667	6060
377	3675	6047
378	3683	6035
379	3691	6023
380	3699	6010
381	3707	5997
382	3715	5985
383	3724	5974
384	3744	5980
385	3764	5987
386	3786	5997
387	3799	5993
388	3822	6004
389	3841	6009
390	3857	6008
391	3876	6012
392	3893	6013
393	3910	6014
394	3925	6011
395	3943	6015
396	3959	6013
397	3971	6007
398	3984	6001
399	3996	5994
400	4007	5986
401	4018	5977
402	4029	5969
403	4040	5960
404	4051	5951
405	4062	5943
406	4075	5937
407	4088	5932
408	4098	5922
409	4109	5913
410	4120	5905
411	4130	5895
412	4141	5885
413	4151	5876
414	4163	5869
415	4179	5866
416	4189	5856
417	4197	5844
418	4205	5831
419	4213	5818
420	4221	5806
421	4229	5793
422	4237	5779
423	4245	5766
424	4252	5753
425	4260	5741
426	4268	5727
427	4276	5715
428	4283	5701
429	4291	5688
430	4298	5674
431	4306	5661
432	4314	5649
433	4322	5637
434	4331	5626
435	4341	5616
436	4351	5606
437	4359	5593
438	4368	5581
439	4376	5569
440	4385	5559
441	4395	5548
442	4405	5538
443	4414	5528
444	4422	5516
445	4430	5503
446	4438	5490
447	4445	5477
448	4453	5464
449	4461	5452
450	4469	5440
451	4478	5429
452	4486	5416
453	4494	5405
454	4503	5393
455	4511	5382
456	4519	5370
457	4529	5359
458	4538	5349
459	4546	5337
460	4554	5324
461	4562	5312
462	4570	5300
463	4577	5287
464	4585	5275
465	4592	5263
466	4599	5249
467	4607	5237
468	4614	5224
469	4622	5212
470	4630	5200
471	4638	5188
472	4645	5176
473	4653	5164
474	4661	5151
475	4669	5139
476	4676	5127
477	4684	5115
478	4692	5103
479	4700	5092
480	4707	5079
481	4715	5068
482	4723	5056
483	4731	5044
484	4739	5032
485	4747	5020
486	4754	5008
487	4762	4996
488	4770	4985
489	4778	4973
490	4785	4961
491	4793	4949
492	4801	4937
493	4809	4926
494	4817	4914
495	4825	4903
496	4834	4892
497	4844	4883
498	4853	4873
499	4863	4863
500	4873	4854
501	4883	4844
502	4890	4832
503	4898	4821
504	4911	4814
505	4929	4812
506	4948	4811
507	4971	4814
508	4983	4807
509	5011	4814
510	5028	4812
511	5044	4807
512	5066	4809
513	5084	4807
514	5100	4803
515	5117	4800
516	5129	4791
517	5142	4784
518	5156	4778
519	5168	4770
520	5179	4761
521	5189	4752
522	5199	4741
523	5209	4732
524	5219	4722
525	5231	4714
526	5243	4706
527	5253	4696
528	5264	4687
529	5273	4676
530	5284	4667
531	5293	4656
532	5302	4646
533	5313	4636
534	5322	4626
535	5335	4618
536	5344	4608
537	5356	4599
538	5364	4588
539	5372	4576
540	5380	4565
541	5388	4553
542	5399	4544
543	5408	4533
544	5417	4522
545	5425	4511
546	5434	4500
547	5442	4489
548	5450	4477
549	5459	4467
550	5468	4455
551	5476	4444
552	5484	4433
553	5492	4421
554	5501	4410
555	5509	4399
556	5517	4388
557	5525	4376
558	5533	4365
559	5541	4354
560	5550	4343
561	5560	4333
562	5570	4323
563	5581	4314
564	5591	4304
565	5600	4294
566	5608	4282
567	5617	4272
568	5625	4261
569	5633	4249
570	5641	4238
571	5649	4227
572	5657	4216
573	5665	4204
574	5674	4194
575	5686	4185
576	5694	4174
577	5703	4163
578	5711	4152
579	5718	4141
580	5727	4130
581	5735	4119
582	5742	4107
583	5750	4096
584	5758	4085
585	5766	4074
586	5774	4062
587	5783	4052
588	5791	4041
589	5799	4030
590	5808	4019
591	5819	4010
592	5830	4001
593	5840	3992
594	5850	3982
595	5861	3972
596	5869	3962
597	5879	3952
598	5887	3941
599	5896	3930
600	5904	3919
601	5911	3908
602	5920	3897
603	5927	3886
604	5934	3874
605	5942	3863
606	5950	3852
607	5958	3841
608	5966	3830
609	5974	3819
610	5981	3808
611	5991	3798
612	6003	3790
613	6024	3787
614	6042	3782
615	6064	3780
616	6077	3772
617	6106	3774
618	6124	3769
619	6138	3762
620	6159	3759
621	6177	3754
622	6192	3747
623	6210	3742
624	6225	3735
625	6237	3726
626	6250	3718
627	6263	3710
628	6275	3701
629	6286	3692
630	6297	3682
631	6308	3673
632	6320	3664
633	6331	3655
634	6343	3646
635	6354	3636
636	6364	3626
637	6373	3616
638	6385	3607
639	6395	3597
640	6405	3587
641	6415	3577
642	6427	3568
643	6436	3558
644	6447	3548
645	6457	3538
646	6465	3527
647	6473	3516
648	6481	3505
649	6488	3494
650	6497	3483
651	6505	3472
652	6512	3460
653	6520	3449
654	6528	3438
655	6537	3427
656	6544	3416
657	6552	3405
658	6560	3394
659	6568	3383
660	6576	3372
661	6584	3361
662	6592	3350
663	6600	3339
664	6608	3329
665	6616	3318
666	6623	3306
667	6631	3295
668	6639	3285
669	6647	3274
670	6654	3263
671	6663	3252
672	6670	3241
673	6679	3230
674	6687	3220
675	6695	3209
676	6704	3198
677	6711	3187
678	6719	3176
679	6726	3165
680	6734	3154
681	6741	3143
682	6750	3133
683	6758	3122
684	6766	3111
685	6774	3100
686	6782	3090
687	6793	3080
688	6802	3070
689	6811	3060
690	6822	3050
691	6831	3040
692	6841	3030
693	6850	3020
694	6858	3009
695	6866	2999
696	6874	2988
697	6882	2977
698	6890	2967
699	6898	2956
700	6906	2945
701	6915	2935
702	6923	2925
703	6934	2915
704	6942	2904
705	6950	2894
706	6957	2883
707	6966	2873
708	6973	2862
709	6982	2851
710	6989	2841
711	6997	2830
712	7005	2819
713	7013	2809
714	7021	2798
715	7029	2788
716	7037	2777
717	7045	2767
718	7056	2757
719	7065	2747
720	7074	2737
721	7082	2726
722	7090	2716
723	7097	2705
724	7106	2695
725	7114	2685
726	7122	2674
727	7130	2664
728	7138	2653
729	7146	2643
730	7155	2633
731	7171	2625
732	7191	2619
733	7210	2613
734	7234	2608
735	7246	2599
736	7278	2597
737	7294	2589
738	7311	2582
739	7329	2575
740	7349	2568
741	7366	2561
742	7380	2552
743	7394	2544
744	7408	2535
745	7422	2527
746	7433	2517
747	7446	2508
748	7456	2498
749	7466	2488
750	7477	2479
751	7489	2469
752	7499	2460
753	7511	2450
754	7523	2441
755	7533	2431
756	7543	2421
757	7553	2411
758	7563	2401
759	7574	2391
760	7583	2381
761	7594	2372
762	7604	2361
763	7614	2352
764	7623	2341
765	7635	2332
766	7646	2322
767	7658	2313
768	7667	2303
769	7677	2293
770	7685	2282
771	7693	2272
772	7702	2261
773	7709	2251
774	7717	2240
775	7725	2230
776	7733	2219
777	7742	2209
778	7750	2198
779	7758	2188
780	7767	2177
781	7778	2168
782	7787	2158
783	7797	2148
784	7808	2138
785	7817	2128
786	7826	2118
787	7834	2107
788	7842	2097
789	7850	2086
790	7858	2076
791	7866	2065
792	7873	2055
793	7881	2044
794	7889	2034
795	7897	2024
796	7905	2013
797	7913	2003
798	7921	1992
799	7929	1982
800	7937	1972
801	7945	1961
802	7953	1951
803	7961	1940
804	7972	1931
805	7982	1921
806	7990	1910
807	7997	1900
808	8005	1890
809	8013	1879
810	8022	1869
811	8030	1859
812	8038	1848
813	8046	1838
814	8053	1828
815	8061	1817
816	8069	1807
817	8077	1797
818	8085	1786
819	8096	1777
820	8106	1767
821	8115	1757
822	8126	1747
823	8134	1737
824	8143	1727
825	8151	1717
826	8160	1707
827	8168	1696
828	8176	1686
829	8185	1676
830	8196	1666
831	8206	1657
832	8216	1647
833	8225	1637
834	8235	1627
835	8244	1617
836	8252	1607
837	8260	1596
838	8268	1586
839	8276	1576
840	8284	1566
841	8292	1556
842	8300	1545
843	8308	1535
844	8316	1525
845	8325	1515
846	8335	1505
847	8354	1497
848	8374	1489
849	8399	1482
850	8410	1472
851	8437	1465
852	8451	1456
853	8467	1447
854	8482	1438
855	8497	1429
856	8514	1420
857	8530	1411
858	8545	1402
859	8559	1393
860	8571	1383
861	8584	1374
862	8598	1364
863	8609	1355
864	8620	1345
865	8630	1335
866	8640	1325
867	8650	1315
868	8661	1305
869	8676	1296
870	8687	1286
871	8696	1276
872	8706	1266
873	8716	1256
874	8726	1246
875	8737	1236
876	8748	1226
877	8758	1217
878	8769	1207
879	8782	1197
880	8791	1187
881	8800	1177
882	8808	1167
883	8816	1156
884	8824	1146
885	8832	1136
886	8840	1126
887	8848	1116
888	8856	1105
889	8865	1095
890	8873	1085
891	8881	1075
892	8889	1065
893	8898	1055
894	8906	1044
895	8914	1034
896	8922	1024
897	8930	1014
898	8938	1004
899	8947	994
900	8955	984
901	8963	973
902	8972	963
903	8979	953
904	8987	943
905	8995	933
906	9004	923
907	9011	913
908	9020	903
909	9027	892
910	9035	882
911	9043	872
912	9051	862
913	9059	852
914	9067	842
915	9075	832
916	9083	822
917	9091	812
918	9099	802
919	9107	791
920	9115	781
921	9124	771
922	9132	761
923	9140	751
924	9148	741
925	9156	731
926	9164	721
927	9172	711
928	9180	701
929	9188	691
930	9198	681
931	9206	671
932	9215	661
933	9222	651
934	9230	641
935	9239	631
936	9246	621
937	9254	611
938	9262	601
939	9270	591
940	9278	581
941	9285	571
942	9293	561
943	9301	551
944	9309	541
945	9316	531
946	9324	521
947	9332	511
948	9340	501
949	9348	492
950	9355	482
951	9363	472
952	9371	462
953	9379	452
954	9387	442
955	9395	432
956	9403	422
957	9410	412
958	9418	402
959	9426	392
960	9434	382
961	9442	373
962	9451	363
963	9459	353
964	9466	343
965	9474	333
966	9482	323
967	9490	313
968	9497	303
969	9505	293
970	9512	284
971	9520	274
972	9528	264
973	9535	254
974	9543	244
975	9551	234
976	9559	225
977	9567	215
978	9575	205
979	9583	195
980	9590	185
981	9598	175
982	9606	166
983	9614	156
984	9622	146
985	9634	136
986	9655	127
987	9673	117
988	9696	107
989	9708	98
990	9733	88
991	9749	78
992	9762	68
993	9777	59
994	9800	49
995	9819	39
996	9836	29
997	9851	19
998	9863	9
999	9877	0
